T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,GD
Camille,Karthus,Lux,Ashe,Blitzcrank,Volibear,LeeSin,Brand,Corki,Senna,117
KSante,Briar,Malzahar,Jhin,Bard,Aatrox,Karthus,Ekko,Caitlyn,Blitzcrank,8788
Camille,Karthus,Corki,Caitlyn,Sion,Urgot,Graves,Zed,Hwei,Seraphine,-424
Ornn,JarvanIV,Karthus,Jinx,Sona,DrMundo,Brand,Yone,Varus,Bard,-4761
Zac,Sett,Karma,MissFortune,Taliyah,Volibear,Viego,Corki,Yasuo,Pyke,-14172
Teemo,XinZhao,Azir,Aphelios,Soraka,Olaf,LeeSin,Taliyah,Caitlyn,Pyke,-6483
Teemo,Karthus,Yasuo,Vayne,Hwei,Mordekaiser,Viego,Vex,Samira,Nami,-12147
Mordekaiser,Zed,Vex,Jhin,Shaco,Belveth,Skarner,Pantheon,Caitlyn,Morgana,7816
Camille,Skarner,AurelionSol,Jhin,Thresh,Gnar,Karthus,Taliyah,Jinx,Rell,-6807
Camille,Karthus,Zed,Samira,Thresh,Yorick,Graves,Sylas,Corki,Seraphine,2275
Camille,Karthus,Vladimir,Sivir,TahmKench,Darius,Viego,Hwei,Smolder,Soraka,8219
Camille,Karthus,Ryze,Xayah,TahmKench,DrMundo,Diana,Zed,Jinx,Leona,10531
Yorick,Evelynn,Vex,Jinx,TahmKench,Zed,Karthus,Brand,Caitlyn,Nautilus,4950
Nunu,Illaoi,Pantheon,Lucian,Nami,Garen,Karthus,Katarina,Caitlyn,Senna,8027
Yorick,Karthus,Ahri,Ashe,Leona,Irelia,Jax,Katarina,Jhin,Lux,-14167
Camille,Rammus,Hwei,Jhin,Zyra,Vayne,Viego,Lux,Jinx,Senna,8094
Kayle,Belveth,Gragas,Tristana,Thresh,Camille,Karthus,Leblanc,Vayne,Seraphine,-15558
Camille,Karthus,Ziggs,Jhin,Leona,Malphite,Tryndamere,Brand,MissFortune,Morgana,-155
Skarner,Karthus,Kled,Samira,Pyke,Darius,Evelynn,Veigar,Ezreal,Leona,4856
Skarner,Rammus,Irelia,Vayne,Lux,Camille,Karthus,Yasuo,MissFortune,Yuumi,-10903
Yone,Kayn,Ekko,Kaisa,Thresh,Camille,Rammus,Brand,Caitlyn,Zilean,7443
Camille,Rammus,Malzahar,Tristana,Maokai,Garen,Nocturne,AurelionSol,MissFortune,Ashe,-9390
Pantheon,Rammus,Yasuo,MissFortune,Rumble,Camille,Skarner,AurelionSol,Kaisa,Karma,8815
Chogath,Amumu,Zilean,Caitlyn,Janna,Mordekaiser,Skarner,Ahri,Twitch,Lux,0
Garen,Brand,Ahri,Caitlyn,Lux,Camille,Zac,Malzahar,Ezreal,Ivern,3769
Garen,Vi,Ahri,Ashe,Teemo,Kayle,Kindred,Akali,Jhin,Gragas,9833
Darius,Karthus,Heimerdinger,KogMaw,Lulu,Volibear,Zac,Lucian,Caitlyn,Janna,-5429
Mordekaiser,LeeSin,Irelia,Caitlyn,Lux,Skarner,Karthus,Zed,Ashe,Thresh,-4941
Camille,Kayn,Morgana,Jinx,Lux,Skarner,Graves,Gangplank,Ezreal,Neeko,6543
Hwei,Caitlyn,Briar,Akali,Mordekaiser,Caitlyn,Lux,Nocturne,Garen,Milio,18515
Quinn,Nautilus,XinZhao,Talon,Gangplank,Varus,Irelia,Volibear,Garen,Ashe,23430
Kled,Warwick,Lux,KogMaw,Skarner,Sett,Lillia,Talon,Jhin,Brand,7366
Camille,XinZhao,Veigar,Jhin,Janna,Urgot,Briar,Ahri,Caitlyn,Lux,11505
Garen,Shaco,Leblanc,Draven,Swain,Darius,Khazix,Katarina,Jhin,Leona,4733
RekSai,Skarner,Varus,Ashe,Shen,Camille,XinZhao,Zed,Sivir,Karma,7730
Yorick,Warwick,Taliyah,Twitch,Zac,Camille,Karthus,Ahri,Ashe,Shaco,7278
Olaf,Gragas,Sylas,MissFortune,Annie,Quinn,Vi,Xerath,Lucian,Lux,-11274
Sion,Karthus,Vayne,Yasuo,Lux,Camille,Volibear,Pantheon,Jhin,Zilean,-7795
Kayle,Sejuani,Seraphine,Draven,Morgana,Darius,Khazix,Cassiopeia,Jhin,Braum,-12461
Garen,Lillia,Yasuo,Samira,Pyke,Camille,Kayn,Ahri,Kaisa,Poppy,13615
Sett,Pantheon,Veigar,Jhin,Nami,Shen,Kayn,AurelionSol,Draven,Thresh,-13863
Garen,Lillia,Hwei,Jhin,Morgana,Yasuo,Karthus,Veigar,Kaisa,Rakan,11007
Pantheon,Khazix,Viktor,Smolder,Orianna,Darius,Amumu,Fizz,Samira,Blitzcrank,6720
Sion,Nocturne,Hwei,Jhin,Renata,Sett,Karthus,Kaisa,Samira,Nautilus,-16962
Darius,Shaco,Ahri,Lucian,Nami,Sett,Trundle,Veigar,KogMaw,Leona,10336
Shen,Volibear,Caitlyn,Samira,Brand,Teemo,Morgana,Ryze,Aphelios,Alistar,-861
Teemo,Ekko,Malzahar,Jhin,Alistar,Sion,Zac,Zed,Lucian,Lux,-13031
TahmKench,Viego,Viktor,Jhin,Seraphine,Riven,Rammus,Veigar,Caitlyn,Sona,-8144
Sion,Nocturne,Ahri,Xayah,Sona,Gwen,Briar,Yone,Caitlyn,Thresh,-4560
Malphite,Briar,Ahri,Caitlyn,Zilean,Teemo,Udyr,Sylas,Varus,Soraka,8124
Riven,Nocturne,Yasuo,MissFortune,Swain,Tryndamere,Khazix,Cassiopeia,Ahri,Seraphine,9466
Singed,Karthus,Ahri,Nilah,Sona,Jax,Nunu,Ekko,Jinx,Velkoz,657
Illaoi,Rengar,Sylas,Draven,Maokai,Aatrox,Lillia,Veigar,Ashe,Senna,-8265
