Volibear,Shen,Veigar,Jinx,Zac,Trundle,Lillia,Gangplank,Nilah,Kennen,11213,100,NA1_4994872719,1618
Aphelios,Viego,Lissandra,Caitlyn,Nautilus,Renekton,Khazix,Yasuo,Smolder,Thresh,-3288,200,NA1_4987955580,2009
Yorick,Karthus,Tristana,Zeri,Velkoz,Anivia,Kayn,Syndra,Ezreal,Brand,10281,100,NA1_4998956760,1640
Garen,Diana,Ahri,Ashe,Nautilus,Kayle,Viego,Xerath,Kaisa,Seraphine,61,200,NA1_4988455698,2073
TahmKench,Poppy,Veigar,Brand,Janna,Olaf,Rammus,Sylas,Caitlyn,Lux,420,100,NA1_4840952996,2410
Ornn,Karthus,Veigar,Twitch,Yuumi,Fiora,LeeSin,Hwei,Jhin,Velkoz,-7872,200,NA1_4999930440,2206
Kennen,Vi,Irelia,Vayne,Maokai,Illaoi,Amumu,Brand,Smolder,Braum,7305,100,NA1_4912705535,2160
Rengar,Volibear,TahmKench,Samira,Leona,Mordekaiser,Graves,Leblanc,MissFortune,Blitzcrank,16205,100,NA1_4937200258,1142
Mordekaiser,Zac,Veigar,Ezreal,Nami,Qiyana,Viego,Yone,Nilah,Teemo,-9303,200,NA1_4963285022,1848
Tryndamere,Volibear,Brand,Kalista,Alistar,Renekton,Kayn,Qiyana,Zeri,Swain,4617,100,NA1_4994875029,1369
Volibear,Nocturne,Hwei,MissFortune,Thresh,Sett,Trundle,Azir,Ashe,Pyke,-8518,200,NA1_4996980823,1739
Vayne,Viego,Hwei,MissFortune,Sona,Sett,Kayn,Naafiri,Caitlyn,Lux,4876,100,NA1_4981735719,2275
DrMundo,Nunu,Fizz,Swain,Pantheon,Trundle,Khazix,Akali,Jhin,Seraphine,16120,100,NA1_4897798881,1380
Aatrox,Diana,Akali,Lucian,Shaco,Teemo,MasterYi,Syndra,Kaisa,Zyra,9684,100,NA1_4987790350,1950
Urgot,Nidalee,Orianna,KogMaw,Lulu,Mordekaiser,Viego,Katarina,Caitlyn,Morgana,7075,100,NA1_5000175816,1696
Malphite,MasterYi,Qiyana,Jinx,Shen,Gwen,RekSai,Zed,Sivir,Lux,14409,100,NA1_4998546204,1665
Fiora,Vi,Kassadin,Ashe,Yuumi,Renekton,Graves,AurelionSol,Jinx,Karma,7285,100,NA1_4951034283,1319
Aatrox,Karthus,Veigar,Caitlyn,Bard,KogMaw,Amumu,Lucian,Jhin,Morgana,6249,100,NA1_4995417973,2240
Sett,Volibear,AurelionSol,Twitch,Milio,Jax,Amumu,Viktor,Ashe,Taric,12134,100,NA1_4991872932,1587
Volibear,Nunu,Twitch,Xayah,Lux,Ornn,Briar,Malphite,Ashe,Yuumi,9517,100,NA1_4964650359,1870
