T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,W1,W2,W3,W4,W5,GD,WL
Yorick,Karthus,Tristana,Zeri,Velkoz,Anivia,Kayn,Syndra,Ezreal,Brand,50,49.56,47.88,49.57,59.38,10281,100
Garen,Diana,Ahri,Ashe,Nautilus,Kayle,Viego,Xerath,Kaisa,Seraphine,44.31,46.53,52.14,50,47.33,61,200
TahmKench,Poppy,Veigar,Brand,Janna,Olaf,Rammus,Sylas,Caitlyn,Lux,58.33,38.89,45.09,49.05,51.57,420,100
Ornn,Karthus,Veigar,Twitch,Yuumi,Fiora,LeeSin,Hwei,Jhin,Velkoz,43.48,54.56,49.92,50.17,50,-7872,200
Kennen,Vi,Irelia,Vayne,Maokai,Illaoi,Amumu,Brand,Smolder,Braum,60.76,50.88,45.26,52.81,49.03,7305,100
Rengar,Volibear,TahmKench,Samira,Leona,Mordekaiser,Graves,Leblanc,MissFortune,Blitzcrank,51.11,54.23,50,50.34,52.7,16205,100
Mordekaiser,Zac,Veigar,Ezreal,Nami,Qiyana,Viego,Yone,Nilah,Teemo,50,50.42,54.97,47.55,50,-9303,200
Tryndamere,Volibear,Brand,Kalista,Alistar,Renekton,Kayn,Qiyana,Zeri,Swain,57.53,54.7,50.0,53.85,52.59,4617,100
Volibear,Nocturne,Hwei,MissFortune,Thresh,Sett,Trundle,Azir,Ashe,Pyke,50.35,50,57.77,48.11,49.48,-8518,200
Vayne,Viego,Hwei,MissFortune,Sona,Sett,Kayn,Naafiri,Caitlyn,Lux,54.07,48.52,52.5,49.28,51.19,4876,100
DrMundo,Nunu,Fizz,Swain,Pantheon,Trundle,Khazix,Akali,Jhin,Seraphine,50.78,50,47.49,48.77,50.85,16120,100
Aatrox,Diana,Akali,Lucian,Shaco,Teemo,MasterYi,Syndra,Kaisa,Zyra,42.9,49.82,50.09,50,44.86,9684,100
Urgot,Nidalee,Orianna,KogMaw,Lulu,Mordekaiser,Viego,Katarina,Caitlyn,Morgana,51.21,52.97,46.73,49.42,50.19,7075,100
Malphite,MasterYi,Qiyana,Jinx,Shen,Gwen,RekSai,Zed,Sivir,Lux,50.36,43.37,51.28,52.19,37.5,14409,100
Fiora,Vi,Kassadin,Ashe,Yuumi,Renekton,Graves,AurelionSol,Jinx,Karma,47.25,51.15,51.33,49.97,49.42,7285,100
Aatrox,Karthus,Veigar,Caitlyn,Bard,KogMaw,Amumu,Lucian,Jhin,Morgana,50,54.11,50,48.52,55.2,6249,100
Sett,Volibear,AurelionSol,Twitch,Milio,Jax,Amumu,Viktor,Ashe,Taric,49.37,48.18,47.22,52.28,54.05,12134,100
Volibear,Nunu,Twitch,Xayah,Lux,Ornn,Briar,Malphite,Ashe,Yuumi,49.52,56.84,50,41.86,50.31,9517,100
Akali,Kayn,Irelia,Vayne,Velkoz,Singed,Ivern,Naafiri,Cassiopeia,Renata,50.88,42.54,57.5,50,50,13777,100
Malphite,Warwick,Veigar,Draven,Blitzcrank,Riven,Kayn,Akali,Jinx,Morgana,55.77,49.23,52.16,45.07,52.16,-9984,200
Kennen,JarvanIV,Yasuo,Xayah,Rakan,KSante,Brand,Tristana,Samira,Nautilus,54.79,50.43,50,48.75,51.51,4736,100
Camille,Viego,Ryze,Jinx,Zyra,Ornn,Brand,Leblanc,Varus,Xerath,55.92,49.97,50,54.57,50.78,-9522,200
Mordekaiser,XinZhao,Neeko,Soraka,Twitch,Ornn,Nocturne,AurelionSol,Smolder,Milio,54.6,50,51.33,50,32.43,-14062,200
Urgot,Kindred,KSante,Ezreal,Lux,Shen,Kayn,Heimerdinger,KogMaw,Brand,47.53,60.09,50,49.68,58.11,-4838,200
Illaoi,Singed,TwistedFate,Ashe,Janna,Camille,Naafiri,Tristana,Ezreal,Blitzcrank,47.47,50,52.13,57.91,49.56,14206,100
Riven,Shen,Anivia,Lucian,Nami,Sion,Nidalee,AurelionSol,Samira,Janna,55.19,43.48,49.01,49.32,49.61,12450,100
Volibear,RekSai,Lissandra,Tristana,Leona,Sion,Nunu,Yasuo,Jinx,Soraka,48.19,50.0,55.12,47.37,51.65,9450,100
Akali,Rammus,Yorick,Senna,Karma,Garen,Udyr,Irelia,TwistedFate,Leona,42.03,48.57,50,50,43.79,14700,100
KSante,Kindred,Ahri,MissFortune,Lulu,Garen,Lillia,Talon,Jinx,Sona,41.21,51.2,48.47,47.43,45.25,-12572,200
Garen,Karthus,Yasuo,Caitlyn,Amumu,Mordekaiser,Udyr,Twitch,Ashe,Brand,47.5,48.71,50,48.87,50,-1132,100
Quinn,Mordekaiser,Kayle,Caitlyn,Alistar,Sion,Briar,Viktor,Soraka,Gragas,54.55,50,46.97,50,50,3404,100
Cassiopeia,Khazix,Yasuo,Samira,Braum,Yone,Graves,Sylas,Vayne,Bard,55.56,49.87,50,53.0,48.26,-2165,200
Sett,Diana,Naafiri,Vayne,Camille,Gwen,Briar,Pantheon,Lucian,Nami,45.34,48.2,50,46.9,48.04,-2156,200
Teemo,Skarner,LeeSin,Vayne,Leona,Darius,Belveth,Pantheon,Twitch,Janna,49.37,50,50,49.83,50.25,5946,100
Nasus,Diana,Zed,MissFortune,Nami,Mordekaiser,Warwick,Akshan,Caitlyn,Lux,48.04,49.14,46.42,49.28,50.86,13373,100
Chogath,Viego,Leblanc,Samira,Darius,Illaoi,Sylas,Ahri,Twitch,Lulu,42.47,56.57,49.78,50.42,50,-9519,200
Udyr,Amumu,Vex,MissFortune,Janna,Warwick,Viego,Lux,Samira,Nautilus,56.25,54.09,45.61,49.66,48.42,5210,100
Kayle,Ivern,Veigar,Janna,Senna,Poppy,XinZhao,Heimerdinger,Caitlyn,Soraka,49.64,47.49,50,50,46.61,-17065,200
Fiora,Briar,Karthus,Smolder,Soraka,Urgot,LeeSin,TwistedFate,Aphelios,Brand,54.64,50.77,34.29,46.76,55.94,-1886,100
Nasus,MasterYi,Syndra,Ezreal,Poppy,Ornn,LeeSin,Hwei,Kaisa,Thresh,43.48,45.66,50.0,50,51.75,3358,100
Mordekaiser,Karthus,Yone,Ezreal,Thresh,Jinx,Briar,Pantheon,Ashe,Brand,50,51.9,41.38,42.09,48.88,-431,200
Sion,Briar,Anivia,Smolder,Seraphine,Nasus,Nunu,Nautilus,Caitlyn,Lux,51.23,43.62,50,42.73,50.11,10332,100
Malphite,Nunu,Varus,Ahri,Pyke,Singed,Diana,Jayce,Samira,Taric,61.04,46.19,50,50,50.57,-6662,200
Jax,Gwen,Yasuo,MissFortune,Zyra,Yorick,MonkeyKing,Ahri,Kaisa,Thresh,48.87,50,50,50,49.84,10942,100
Garen,Amumu,Lux,Jhin,Zyra,Heimerdinger,FiddleSticks,Taliyah,Caitlyn,Nautilus,50.0,50,49.73,51.45,48.99,5564,100
Malphite,Karthus,Galio,Kaisa,Zyra,Garen,Sylas,Zed,Samira,Sona,49.6,56.01,52.7,48.34,45.57,4821,100
Darius,Udyr,Zed,MissFortune,Pyke,Nasus,Diana,Annie,Caitlyn,Milio,53.25,56.56,48.77,49.28,50.99,2605,100
Jax,Elise,Sett,Jinx,Yuumi,Camille,Kayn,Vex,Smolder,Rakan,48.66,46.03,50,59.93,43.19,-12117,200
Singed,Volibear,Anivia,Varus,Ashe,DrMundo,Mordekaiser,Malzahar,Ezreal,Lux,54.72,50,53.05,48.47,44.88,6705,100
Nasus,Lillia,Yone,Jhin,Bard,Singed,Nidalee,Ekko,Aphelios,Pantheon,54.84,45.94,48.19,54.44,62.96,8417,100
Sett,Zed,Hwei,Ezreal,Janna,Trundle,Viego,Akshan,Sivir,Seraphine,52.92,42.17,47.18,40.54,51.22,-11874,200
Nasus,Briar,Brand,Sivir,Rakan,Illaoi,Vi,Leblanc,Samira,Shen,48.54,47.6,50,48.77,50,-7021,200
Shen,Viego,TwistedFate,Smolder,Milio,Urgot,MasterYi,Hwei,Sivir,Brand,52.17,51.48,51.23,39.13,54.3,-3848,200
KSante,Shen,Fizz,Caitlyn,Lux,DrMundo,LeeSin,Orianna,Jhin,Xerath,45.36,54.13,57.23,48.52,48.35,2648,100
Nasus,Rumble,Fizz,Jinx,Braum,Jax,Lillia,Zed,Twitch,Nautilus,56.07,51.35,46.89,50.19,53.0,4913,100
Tryndamere,Evelynn,Shen,Jinx,Anivia,Garen,Jax,Yone,Twitch,Seraphine,55.79,50.65,50,50.19,50,6045,100
Yorick,Kayn,Malphite,Kaisa,Lux,Darius,Maokai,Annie,MissFortune,TahmKench,57.88,50,47.83,51.3,45.05,9903,100
Urgot,Elise,Yasuo,Smolder,Leona,Quinn,Shaco,Aatrox,Ziggs,Janna,54.43,48.09,50,50,50.25,11346,100
Malphite,Viego,Akali,Ezreal,Velkoz,Aatrox,Amumu,Katarina,Jhin,Karma,53.08,45.91,54.1,43.79,49.19,9809,100
Briar,Belveth,Kayle,Ashe,Hwei,Aatrox,Rammus,Fizz,Kalista,Maokai,50,42.39,38.3,52.84,41.03,-4798,200
Gnar,Udyr,Gragas,Twitch,Skarner,Irelia,Warwick,Xerath,TwistedFate,Sona,45.75,47.87,63.64,50,37.14,-8292,200
Nasus,Zac,Hwei,Jinx,Braum,Sett,Ivern,Vex,Lucian,Milio,46.11,55.56,53.58,52.56,50.97,9280,100
Garen,Brand,Zed,Varus,Hwei,Riven,Vi,Lux,Jinx,Senna,49.13,53.97,43.19,45.43,47.3,-12007,200
