T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,W1,W2,W3,W4,W5,GD,WL
Urgot,MasterYi,TwistedFate,Caitlyn,Senna,Akali,Ivern,Tristana,Jhin,Milio,49.51,45.45,52.13,48.52,48.53,-7671,200
Nasus,Kayn,Hwei,Lucian,Blitzcrank,KSante,Teemo,Katarina,Tristana,Alistar,47.74,50,47.98,47.78,48.51,7463,100
Mordekaiser,Graves,Talon,Jinx,Seraphine,Yone,MonkeyKing,Akali,Tristana,Rell,46.27,45.85,52.82,52.58,47.81,3955,100
Malphite,Belveth,Naafiri,Kalista,Nautilus,Pantheon,Warwick,AurelionSol,Jinx,Rell,52.34,59.68,54.55,45.9,44.68,8175,100
Sion,Warwick,Yasuo,Jinx,Lulu,Yorick,XinZhao,Azir,Samira,Nautilus,47.73,47.46,50,52.32,46.58,8960,100
Trundle,Nunu,Poppy,Lucian,Malphite,Teemo,Jax,Yasuo,Aphelios,Leona,52.83,46.3,50,53.19,50,-9739,200
Pantheon,Diana,Zoe,Smolder,Taric,Shen,Viego,Sylas,Vayne,Thresh,47.47,46.53,51.33,47.19,51.07,7647,100
Garen,Trundle,Veigar,Smolder,Zyra,Sion,Volibear,Anivia,Varus,Sona,52.61,50,57.5,41.51,45.57,-12473,200
DrMundo,Kindred,AurelionSol,Jinx,Pyke,Gwen,Hecarim,Hwei,TwistedFate,Zyra,38.33,49.33,46.86,50,52.92,13961,100
KSante,Khazix,Akali,Senna,Rakan,Fiora,MasterYi,Veigar,Lucian,Pyke,40.44,50.23,47.95,40.74,51.0,-8405,200
Tryndamere,Amumu,Veigar,Nilah,Zac,Kled,FiddleSticks,AurelionSol,Varus,Galio,47.92,50,54.98,54.55,50,5582,100
Malzahar,Warwick,Hwei,Samira,Nautilus,Darius,Yasuo,Volibear,Jhin,Neeko,37.78,50,50,49.47,49.34,12097,100
Darius,Briar,Zilean,MissFortune,Pyke,Urgot,Elise,Ahri,KogMaw,Milio,51.17,48.61,50,46.27,50.99,9550,100
Kayle,Vi,Katarina,Graves,Karma,Teemo,Rammus,Chogath,KogMaw,Thresh,39.06,48.63,50,50,45.67,9826,100
Akshan,Shaco,Smolder,Caitlyn,MissFortune,Riven,Ekko,Brand,Vayne,Morgana,49.18,51.6,50,54.16,50,-12869,200
Pantheon,Belveth,Rumble,Vayne,Yuumi,Darius,Shaco,Lux,Zeri,Braum,42.91,54.02,59.46,56.45,41.78,-13607,200
Camille,Brand,Xerath,Twitch,Yuumi,Teemo,Rammus,Orianna,Aphelios,Pyke,50.36,49.57,51.52,55.45,42.73,9684,100
Tryndamere,Khazix,Chogath,Jhin,Poppy,Illaoi,Viego,Ziggs,MissFortune,Lux,49.64,49.25,50,51.57,55.69,-3537,200
MonkeyKing,XinZhao,Hwei,Ezreal,Bard,Fiora,Ekko,Gangplank,Lucian,Milio,55.65,50,50,47.64,48.76,-4453,200
Ornn,Ekko,Lissandra,Lucian,Thresh,Renekton,Udyr,Katarina,Jinx,Morgana,55.49,57.03,48.26,47.44,50.97,5769,100
Urgot,Briar,Akali,Jinx,Janna,Udyr,Lillia,Kayle,Xayah,Rakan,58.97,50.81,53.04,53.11,50.73,-8278,200
Garen,MasterYi,AurelionSol,Ashe,Swain,Aatrox,Udyr,Sylas,Vayne,Thresh,52.31,47.79,49.65,52.36,50.67,-4495,200
Nasus,Brand,Yone,Ashe,Alistar,Darius,Ekko,Ahri,Jhin,Morgana,46.91,47.25,48.93,50.29,54.08,6140,100
Nasus,Shaco,Fizz,Jinx,Brand,Kayle,LeeSin,Taliyah,Kaisa,Nautilus,50.58,55.47,50.92,50,47.43,-11921,200
Teemo,Kayn,Galio,MissFortune,Velkoz,Sett,Khazix,Sylas,Draven,Nami,49.77,50,56.81,54.09,50.57,5519,100
Garen,Kayn,Fizz,Vayne,Yuumi,Teemo,Trundle,Yasuo,Sivir,Hwei,49.71,50,45.75,47.89,51.96,-1642,200
Gangplank,Viego,Lux,Vayne,Smolder,Pantheon,Shaco,Chogath,Brand,Seraphine,44.9,47.11,50,51.25,50,-15216,200
Trundle,Kayn,Xerath,Samira,Morgana,Mordekaiser,Shaco,Akali,Lucian,Janna,46.94,48.36,52.89,50.68,47.32,-11371,200
Nasus,Karthus,Yasuo,Lucian,Velkoz,Urgot,Talon,Viktor,MissFortune,Soraka,38.46,52.96,50,46.71,46.15,-830,200
Urgot,XinZhao,AurelionSol,Samira,Morgana,Darius,Nidalee,Gragas,Zeri,Teemo,48.96,50,52.63,52.8,50,-5640,200
Mordekaiser,Belveth,Veigar,Ezreal,Annie,Rumble,Viego,Akshan,Twitch,Leona,52.26,51.11,42.01,43.84,50,-10445,200
Kennen,Amumu,Annie,Ezreal,Thresh,Teemo,Diana,Yasuo,Jinx,Morgana,54.1,51.77,51.81,45.43,50.97,5427,100
Kayle,Lillia,Jayce,Draven,Alistar,Ornn,Kayn,Katarina,Caitlyn,Rell,52.81,54.26,49.8,46.81,49.61,14256,100
TwistedFate,Warwick,Vladimir,Jhin,Bard,Fiora,LeeSin,Irelia,Kaisa,Thresh,55.36,52.67,56.43,50,46.84,-10319,200
Nasus,Nidalee,Ahri,Caitlyn,Karma,KSante,Briar,TwistedFate,Aphelios,TahmKench,47.74,49.51,48.12,54.03,30.77,-8506,200
Shen,Graves,Zoe,Jinx,Teemo,Malphite,MasterYi,Vladimir,Jhin,Janna,54.9,53.13,51.69,51.13,45.95,-1863,200
Riven,Gragas,Yasuo,Ezreal,Hwei,Singed,Warwick,Lux,MissFortune,Ashe,62.22,52.48,50,48.13,51.4,13465,100
Garen,Mordekaiser,Katarina,Jhin,Senna,Warwick,Taliyah,AurelionSol,Kalista,Swain,46.23,50,52.86,52.0,51.59,-6343,200
DrMundo,Jax,Hwei,Caitlyn,Thresh,Vladimir,Nocturne,Garen,Jinx,Taric,50.82,50.0,50,48.87,48.93,-16229,200
Sett,Skarner,Kaisa,Jinx,Morgana,Gnar,Darius,Annie,Ashe,Janna,46.91,50,50,50.01,47.32,-13800,200
Teemo,Diana,Sylas,Kaisa,Zyra,Volibear,Ekko,Yone,Jinx,Karma,57.33,44.96,53.98,46.28,48.09,6103,100
Irelia,Briar,Hwei,Blitzcrank,Zeri,Mordekaiser,Nocturne,Akali,Smolder,Morgana,52.3,50.68,51.16,50,50,-10184,200
Urgot,MasterYi,Malzahar,Jhin,FiddleSticks,Shyvana,Graves,Brand,Ezreal,Thresh,50,46.87,46.15,56.18,50,8872,100
Trundle,Volibear,Zed,MissFortune,Lux,Ornn,Brand,Leblanc,Jhin,Amumu,54.66,49.19,50,48.43,50,-16133,200
Trundle,Diana,Orianna,Varus,Nautilus,Vladimir,LeeSin,Heimerdinger,Jinx,Milio,50,52.62,50,45.43,51.93,6636,100
Ornn,Morgana,Brand,Ezreal,Skarner,Yorick,Olaf,Talon,Jinx,FiddleSticks,52.94,50,47.62,45.43,50,-7501,200
MonkeyKing,Diana,Garen,Sivir,Swain,Vayne,Skarner,Sylas,Jinx,Soraka,37.7,48.39,53.7,47.81,43.9,-7024,200
Irelia,MasterYi,Ahri,Samira,Nautilus,Illaoi,Karthus,Katarina,KogMaw,Nami,55.3,49.73,49.64,48.13,52.75,15873,100
KSante,Zyra,Yasuo,MissFortune,Morgana,Gragas,Viego,Sylas,Sivir,Leona,46.73,44.9,50,46.92,49.69,13243,100
Sett,MasterYi,Yasuo,Varus,Zyra,Renekton,Rammus,Viktor,Sivir,Brand,47.15,44.81,50,46.42,49.13,-5787,200
Malphite,Maokai,Yasuo,Caitlyn,Nami,Pantheon,Volibear,Ahri,Nilah,Pyke,52.34,50,50,49.56,51.13,-8989,200
Nasus,Kindred,Ryze,Kaisa,Janna,Darius,Kayn,Brand,Yasuo,Pyke,46.91,60.09,48.76,48.66,47.19,13504,100
Rumble,Lillia,Kennen,Jhin,Pantheon,Mordekaiser,Evelynn,Akali,Samira,Yuumi,47.94,48.29,52.14,50.53,48.55,4321,100
Malphite,Nunu,Pantheon,Lucian,Nami,Kayle,Vi,Yone,Twitch,Nautilus,50.17,53.02,58.62,48.53,47.25,14127,100
FiddleSticks,Briar,Taliyah,Sivir,Thresh,Jayce,Skarner,Ekko,Lucian,Nami,50,45.63,47.03,48.79,50.11,-13859,200
Darius,Teemo,Vex,Zeri,Nami,LeeSin,Chogath,Kennen,Jhin,Seraphine,50,50,50,46.94,51.48,-6627,200
Riven,LeeSin,Lissandra,Sivir,Gragas,Irelia,Shyvana,Fizz,Aphelios,Thresh,56.08,51.26,48.94,49.07,44.64,11480,100
Darius,JarvanIV,Malzahar,Ziggs,Zyra,Rumble,LeeSin,Anivia,KogMaw,Swain,47.37,55.55,46.95,50,62.35,716,100
Illaoi,Ekko,Katarina,Sivir,Shaco,Yorick,XinZhao,Ahri,Ezreal,Xerath,53.51,47.67,50.35,59.46,41.28,-135,200
Teemo,Briar,Vi,Karthus,Alistar,Nasus,Sylas,AurelionSol,Zeri,Galio,51.41,52.17,50,62.35,43.28,-7679,200
Garen,Lillia,Sylas,MissFortune,Lux,Trundle,Shaco,Brand,Draven,Leona,45.03,50.44,48.13,54.09,50.51,-7993,200
Aatrox,Sejuani,AurelionSol,Skarner,Pyke,Udyr,Ivern,Sylas,Vayne,Janna,47.16,46.02,49.65,50,52.81,2291,200
Garen,XinZhao,Viktor,Twitch,Janna,KSante,Viego,Kassadin,Jhin,Brand,58.58,50,48.95,50.17,55.46,-14290,200
Sett,Sejuani,Akali,Kaisa,Maokai,Yone,Hecarim,Lucian,Karthus,Pyke,59.13,48.86,50,44.66,51.94,8780,100
Darius,Lillia,Hwei,Jinx,Milio,DrMundo,FiddleSticks,Jayce,Xayah,Maokai,47.5,50,52.63,53.11,51.57,12574,100
Mordekaiser,Kayn,Garen,Jinx,Thresh,Karma,Hecarim,Jayce,Jhin,Chogath,50,47.51,50,51.13,50,6753,100
Vayne,Briar,Hwei,Sion,Senna,Mordekaiser,Diana,Zoe,Lucian,Thresh,56.42,51.8,44.63,50,47.99,-8331,200
KSante,Warwick,Nasus,Jinx,Ashe,Camille,MonkeyKing,Akali,Lucian,Milio,42.63,59.62,58.7,52.56,45.27,7847,100
Yorick,Volibear,Malzahar,Xayah,Maokai,Illaoi,Amumu,Akali,Yasuo,Morgana,46.49,48.18,50.76,41.51,48.78,10178,100
Garen,Taliyah,Fizz,Ashe,Zyra,Teemo,Rengar,Zoe,Samira,Nautilus,49.71,52.52,48.3,53.98,48.99,-13864,200
Aatrox,Shaco,Malzahar,Yasuo,Nami,Sion,XinZhao,Azir,Jhin,Zilean,57.69,47.77,55.88,50,47.39,8156,100
Malphite,Shyvana,Hwei,Kalista,Pyke,Jax,Lillia,Yone,Draven,Blitzcrank,50.93,47.47,51.84,49.23,51.33,1777,200
TahmKench,Nidalee,AurelionSol,Sivir,Shen,Teemo,Zac,Malzahar,Varus,Janna,51.47,47.25,51.87,53.58,51.35,-11938,200
Kayle,Warwick,Akshan,AurelionSol,Sona,Naafiri,LeeSin,Lux,Kaisa,Nautilus,50,52.67,51.86,50,46.71,-10549,200
Sett,Caitlyn,Hwei,Graves,Seraphine,Malphite,Briar,Akali,Smolder,Morgana,49.55,50,51.16,50,48.85,-6273,200
Fiora,Lillia,Fizz,Samira,Rakan,Poppy,Brand,TwistedFate,Vayne,Nami,46.1,48.38,46.07,53.0,48.54,-7645,200
Jax,Sejuani,Fizz,Caitlyn,Thresh,TahmKench,Hecarim,Akali,Samira,Nami,50.3,48.86,47.49,49.49,50.11,10450,100
Trundle,Shyvana,Akali,Lucian,Nami,Chogath,Warwick,Hwei,Xayah,Thresh,50,42.0,48.89,52.96,49.89,-7500,200
Sett,JarvanIV,AurelionSol,Jinx,Lux,Aatrox,Rammus,Leblanc,MissFortune,Nautilus,52.26,50.36,50,52.57,48.78,-14606,200
Renekton,LeeSin,Fizz,Caitlyn,Sona,KSante,Belveth,Lissandra,Tristana,Lux,52.02,50,51.06,52.28,51.19,10584,100
Swain,Maokai,Yasuo,Caitlyn,Alistar,KSante,Amumu,Ziggs,Xayah,Neeko,56.36,50,50,50.82,45.36,-16497,200
Darius,FiddleSticks,Ekko,Trundle,Sona,Quinn,Kayn,Sylas,Twitch,Maokai,48.96,50,45.83,50,50.41,6852,100
Teemo,Viego,Rumble,Ezreal,Pyke,Katarina,Nocturne,Neeko,Smolder,Maokai,50,49.83,50,52.85,48.06,10085,100
Nasus,Singed,Akali,Ashe,Zilean,TwistedFate,Kayn,Kassadin,Jhin,Zac,53.03,50,50.64,50.29,50,9473,100
Tryndamere,Nunu,Xerath,Ashe,Blitzcrank,Ryze,MasterYi,Malzahar,Ezreal,Velkoz,46.88,55.88,48.7,57.91,50,5892,100
Nasus,Amumu,Zed,Zeri,Senna,Yorick,Viego,Yone,Kaisa,Teemo,45.74,54.09,50.91,50,50,272,200
TahmKench,MasterYi,Leblanc,Zeri,Sona,Volibear,Skarner,Tristana,Jhin,Lux,43.64,49.11,48.25,46.94,51.19,-14823,200
Volibear,Vi,Ahri,Ashe,Shaco,Darius,Brand,Sylas,Jinx,Braum,49.91,45.82,48.48,49.97,51.24,-2954,200
Darius,MonkeyKing,Yasuo,KogMaw,Teemo,Singed,Skarner,Yone,Jinx,Sona,52.94,53.68,50,47.76,50,2211,100
Aatrox,Nidalee,Ahri,Ashe,Braum,Rammus,Karthus,Leblanc,Jhin,Zoe,50,51.72,50,50.29,50,11173,100
Sett,Sejuani,Sylas,Jhin,Seraphine,Yorick,Shaco,Malzahar,KogMaw,Shen,54.37,52.01,48.89,52.27,50,-12527,200
Riven,Amumu,Lux,Samira,Soraka,Teemo,Shaco,Syndra,Zeri,Yuumi,49.37,46.59,53.05,52.8,45.75,-5095,200
Fiora,Shaco,Leblanc,Jhin,Karma,Yone,Nidalee,Fizz,Tristana,Maokai,59.76,51.16,53.88,49.4,45.12,11043,100
Yorick,Mordekaiser,Talon,Varus,Morgana,Kayle,Jax,Shen,Tristana,Lissandra,43.7,50,50,48.28,50,-4878,200
Naafiri,FiddleSticks,Yone,Samira,Shaco,TahmKench,Viego,Lux,Kaisa,Yuumi,50,50,45.92,50,47.2,9015,100
Chogath,Warwick,Pantheon,Vayne,Xerath,Renekton,Nocturne,Vladimir,JarvanIV,Blitzcrank,51.45,57.89,50,50,45.19,6284,100
Gragas,JarvanIV,Ziggs,Varus,Janna,Tryndamere,Vi,Leblanc,Jhin,Blitzcrank,56.98,53.76,50,45.72,49.56,13039,100
Briar,Khazix,Vex,Vayne,Skarner,Shen,Zac,Akshan,Nilah,Sona,50,46.27,49.3,52.41,37.14,-2215,200
Ornn,Rumble,Ahri,Tristana,Lux,Yorick,Nasus,AurelionSol,Varus,Rell,52.94,50,54.08,51.72,47.88,701,100
Quinn,Amumu,AurelionSol,Ezreal,Braum,Camille,Gragas,Naafiri,Tristana,Senna,52.5,48.44,45.98,44.44,46.85,-9495,200
Chogath,XinZhao,Annie,Ashe,Swain,Gnar,MonkeyKing,Ahri,Jhin,Leona,43.1,50,50.21,50.29,46.79,7810,100
Sett,Shaco,Akshan,Ashe,Pyke,Mordekaiser,Lillia,Azir,Twitch,Yuumi,49.14,49.56,53.39,47.72,57.27,1667,200
Naafiri,Volibear,Annie,Ezreal,Soraka,Aatrox,Vi,Orianna,Kaisa,Pyke,44.9,54.82,47.59,50,48.44,82,100
Yasuo,Brand,Ahri,Hwei,Nautilus,Darius,Skarner,Kennen,Twitch,Sona,50,52.02,54.4,59.02,53.29,-11523,200
Qiyana,Amumu,Yone,Sivir,Neeko,Kennen,RekSai,Azir,Yasuo,Pyke,50,47.89,49.43,38.1,47.4,9413,100
KSante,Warwick,TwistedFate,Caitlyn,Pyke,Darius,Viego,Yone,Twitch,Brand,47.09,54.53,60.26,50.76,54.84,27,100
Aatrox,Rammus,Ekko,Yasuo,Alistar,Trundle,Sylas,Lucian,Caitlyn,MissFortune,49.51,61.11,50,50,50,7536,100
RekSai,Brand,Katarina,Jhin,Lulu,Fiora,LeeSin,Sylas,Veigar,Senna,50,54.57,50.62,50,49.41,4976,100
Sett,Rengar,Malzahar,Varus,Thresh,Darius,MonkeyKing,AurelionSol,Draven,Soraka,53.02,50.0,47.69,48.81,48.19,-9606,200
Garen,Warwick,Akali,Kaisa,Lux,Teemo,Belveth,Zed,Samira,Pantheon,49.71,50,53.29,48.34,54.9,-6451,200
Jax,RekSai,TwistedFate,Nilah,Lux,Urgot,Warwick,Akshan,Tristana,Pyke,46.1,52.59,50.66,58.82,47.58,-12936,200
Teemo,Udyr,Vex,Ezreal,Lux,Galio,Ivern,Syndra,Jhin,Thresh,50,55.83,51.39,43.79,48.82,-10950,200
Briar,Evelynn,Yasuo,Caitlyn,Lux,Yone,Shaco,Naafiri,Ashe,Braum,50,47.28,50,48.87,50.54,-8903,200
Garen,Sion,Yasuo,Nilah,Janna,Nasus,Amumu,Ekko,Smolder,Sona,48.55,50,50,36.9,47.95,6238,100
Smolder,Graves,Brand,Jinx,Rakan,Gwen,Udyr,Sylas,Lucian,Lux,50,53.28,51.49,52.56,48.45,-1214,200
Skarner,MasterYi,Pantheon,Kaisa,Sona,Renekton,Vi,Cassiopeia,Jinx,Hwei,55.63,47.84,50,46.28,60.0,-7957,200
Malphite,Zac,Yasuo,KogMaw,Janna,Singed,Diana,Galio,Jhin,Zyra,61.04,43.67,50,47.73,54.67,-11050,200
Sion,Skarner,Jayce,Zeri,Nami,Singed,Ekko,Veigar,Jhin,Leona,51.43,59.05,38.96,46.94,46.81,-14196,200
Sion,Kindred,Veigar,Kaisa,Velkoz,Mordekaiser,Kayn,Akali,Jhin,Senna,47.41,60.09,52.16,49.01,48.64,9793,100
Sion,Ivern,Veigar,Vayne,Lux,Ornn,Khazix,Qiyana,Yasuo,Janna,46.22,50,51.85,52.11,48.43,-6783,200
Singed,Nunu,Veigar,Ashe,Nautilus,Mordekaiser,Belveth,Sett,Lucian,Thresh,53.0,50,50,54.51,48.65,-13032,200
Kayle,Nocturne,Syndra,Jhin,Zyra,Malphite,Nunu,Anivia,MissFortune,Karma,49.83,46.15,45.03,51.57,48.09,-11892,200
Vladimir,Shaco,Annie,MissFortune,Leona,Anivia,Viego,Akali,Jhin,Braum,50,52.89,49.78,48.43,49.3,5561,100
Urgot,Skarner,Xerath,Draven,Lulu,Darius,MasterYi,Velkoz,Twitch,Zilean,48.96,50.89,50,51.16,49.16,14854,100
Nasus,Morgana,Ahri,Kaisa,Senna,TahmKench,JarvanIV,Syndra,Zeri,Ashe,42.86,37.62,49.26,50.94,52.62,-8075,200
Volibear,Kayn,Ahri,Ezreal,Hwei,Darius,Lillia,Zed,Senna,Pantheon,49.91,45.74,49.65,50,40.82,11546,100
Olaf,Viego,Ahri,Tristana,Taric,Graves,Ivern,Zoe,Kaisa,Blitzcrank,50,48.78,44.87,50,47.56,14890,100
Jayce,Graves,Leblanc,Ashe,Alistar,Nasus,Jax,Hwei,Caitlyn,LeeSin,50.69,50.0,50.09,51.28,50,14678,100
Yorick,Kindred,AurelionSol,Samira,Hwei,Kled,Rammus,Talon,Tristana,Braum,49.23,47.47,49.0,52.04,42.14,-13930,200
Fiora,Lillia,Talon,Jinx,Yuumi,Nasus,Graves,Fizz,Kalista,Blitzcrank,48.15,52.44,46.56,54.1,44.8,4820,100
Singed,MasterYi,Kassadin,Jinx,Zilean,Riven,JarvanIV,Azir,KogMaw,Lulu,36.36,40.21,54.14,52.24,50,5355,100
Pantheon,Khazix,Samira,Vayne,Morgana,Nasus,Lillia,AurelionSol,MissFortune,Thresh,53.33,49.79,50,46.9,48.94,-3678,200
Garen,Chogath,Sylas,Vayne,Galio,Aatrox,Khazix,Yasuo,MissFortune,Seraphine,52.31,50,51.49,46.9,58.06,-9684,200
Tryndamere,Amumu,Pantheon,Ezreal,Heimerdinger,Kindred,Ornn,Katarina,Vayne,Ashe,50,50,54.11,45.35,50,-2697,200
Gragas,Graves,Jayce,Twitch,Nautilus,Camille,Kayn,Brand,Nilah,Shaco,48.53,49.18,51.05,47.04,48.04,11045,100
Sett,Khazix,Kassadin,Jhin,Chogath,Darius,Graves,Yorick,MissFortune,Karma,53.02,49.87,50,51.57,50,12301,100
Graves,Volibear,Orianna,Jinx,Janna,TahmKench,Briar,Veigar,Smolder,Thresh,50,51.58,45.39,59.93,48.29,8146,100
Chogath,Taliyah,Sylas,Caitlyn,Swain,Renekton,Amumu,Malzahar,MissFortune,Seraphine,51.45,58.36,48.89,50.76,35.0,-5214,200
Camille,Kayn,Sylas,Varus,Lux,Gnar,FiddleSticks,Zed,Kaisa,TahmKench,52.21,50,54.18,50,45.05,9609,100
Fiora,Khazix,Vladimir,Pyke,Annie,Jax,Kindred,Taliyah,Kaisa,Galio,48.84,47.18,47.62,50,50,321,100
Ashe,Gragas,TwistedFate,Vayne,Karma,Yone,Diana,Shen,Draven,Alistar,50,48.73,50,45.62,53.45,9153,100
TahmKench,Briar,Zilean,Ezreal,Brand,Mordekaiser,Ekko,Zed,Senna,Janna,45.45,49.39,50,50,44.17,-13192,200
Darius,Kayn,Fizz,Ezreal,Brand,Mordekaiser,Kindred,Viktor,Ashe,Karma,50.56,39.91,46.02,42.09,45.89,-11405,200
Vayne,LeeSin,AurelionSol,Ashe,Lulu,Renekton,Warwick,Veigar,Aphelios,Milio,51.13,47.33,44.95,54.87,49.48,4750,100
Warwick,Hecarim,Malzahar,Xayah,Rakan,Kayle,Taliyah,Yasuo,Aphelios,Yuumi,46.15,48.59,52.29,52.99,56.81,9199,100
Zac,Shyvana,Zed,Smolder,Lux,Quinn,Karthus,Akali,Vayne,Soraka,50,46.72,46.25,47.19,46.76,-6388,200
Sion,LeeSin,Yone,Jinx,Lux,Fiora,JarvanIV,Malzahar,MissFortune,Soraka,53.22,44.45,52.75,52.57,46.76,-2955,200
FiddleSticks,Jax,Gangplank,Nilah,Zyra,Camille,Briar,AurelionSol,Ezreal,Brand,50,52.45,43.75,52.45,49.13,-15593,200
Sett,Amumu,Azir,Jhin,Milio,DrMundo,Shaco,Lux,Ashe,Morgana,56.73,46.59,48.26,49.71,57.2,11001,100
Riven,Rammus,Orianna,Jinx,Morgana,Tryndamere,Graves,Taliyah,Ashe,Senna,43.17,53.8,45.17,50.01,50.57,-2585,100
Camille,Tristana,AurelionSol,Brand,Milio,Riven,Karthus,Hwei,Jhin,Leona,51.84,50,46.86,47.25,45.58,-21,200
Singed,Khazix,AurelionSol,Twitch,Thresh,Gangplank,Amumu,Brand,Varus,Zyra,44.05,48.15,53.19,52.49,50.16,10226,100
KSante,FiddleSticks,Orianna,Caitlyn,Lux,Varus,Karthus,Yone,Zeri,Twitch,45.65,50,51.93,53.01,50,-6859,200
Jax,MasterYi,Azir,Ashe,Sona,Gragas,Udyr,Leblanc,Jhin,Thresh,44.08,47.79,50,50.29,48.38,-8388,200
Darius,RekSai,Anivia,Jinx,Lulu,Trundle,Olaf,Smolder,Ashe,Shaco,57.47,50,50,50.01,51.57,8133,100
Warwick,Volibear,Twitch,Ashe,Braum,DrMundo,Zac,Veigar,Ezreal,Senna,58.43,52.03,50,57.91,46.85,7974,100
Nasus,Lillia,Leblanc,Ashe,Senna,Mordekaiser,Warwick,Galio,Caitlyn,Shaco,48.04,50.28,40.9,51.28,49.41,10131,100
Aatrox,Vi,Leblanc,Kaisa,Senna,Teemo,XinZhao,Swain,Caitlyn,Leona,42.9,45.65,53.85,48.66,44.34,17097,100
Camille,Hecarim,Katarina,Ziggs,Morgana,DrMundo,Viego,Fizz,Zeri,Zilean,52.08,49.72,51.5,50,51.0,16131,100
Mordekaiser,Kayn,Veigar,Caitlyn,Lulu,Malphite,Volibear,Akshan,Smolder,Thresh,55.05,45.3,42.01,56.97,47.45,-8445,200
Urgot,Nocturne,Annie,Kaisa,Brand,Kayle,Warwick,Zed,Jinx,Lulu,45.99,42.11,51.23,46.28,47.0,7417,100
Sett,Shyvana,Orianna,Kaisa,Zyra,Yorick,Nunu,Alistar,Varus,Lux,54.37,56.14,50,52.28,47.12,5111,100
Jax,Draven,AurelionSol,Caitlyn,Morgana,Ornn,Graves,Lux,Samira,Soraka,50.0,50,47.79,49.49,48.31,-18155,200
Pantheon,Shaco,Hwei,Ashe,Thresh,Malphite,MonkeyKing,Cassiopeia,Jinx,Senna,47.66,50.75,48.53,49.97,52.01,9050,100
Ornn,Shyvana,Hwei,Twitch,Shen,Gangplank,Kindred,Veigar,Ezreal,Zac,44.05,46.39,50.08,56.16,50,8456,100
Ornn,Ivern,Sylas,Kaisa,Nautilus,Yone,Ekko,Swain,Varus,Lux,57.21,58.57,46.51,52.28,51.22,4380,100
Sett,Zyra,Yone,Varus,Blitzcrank,Riven,Briar,Ekko,Jhin,Graves,48.11,50,48.19,45.72,50,5545,100
Fiora,Udyr,Velkoz,Kaisa,Blitzcrank,Vayne,Nocturne,Diana,Jinx,Pantheon,52.63,56.52,43.06,46.28,53.59,-15966,200
Sion,DrMundo,Galio,Tristana,Nautilus,Amumu,Kayn,Sylas,Smolder,Morgana,50,50,56.81,61.31,47.31,-6180,200
Udyr,Hecarim,Yasuo,Kalista,Milio,Vayne,Lillia,LeeSin,Lux,Pantheon,42.65,50.36,50,50,55.44,2589,100
Sion,Evelynn,Tristana,MissFortune,Thresh,Garen,Kayn,Xerath,Ashe,Seraphine,47.37,52.11,51.05,48.11,47.84,12288,100
KSante,MasterYi,Heimerdinger,TwistedFate,Zilean,Jax,Brand,Zed,Smolder,Amumu,47.3,50.75,50.91,50,50,-3690,200
Kennen,LeeSin,TwistedFate,Tristana,Yuumi,DrMundo,Gwen,Ahri,Jinx,Shen,53.61,47.64,52.08,47.37,50,-625,200
Yasuo,Briar,Sylas,Smolder,Hwei,Kled,Vi,Katarina,Ashe,Lux,50,47.6,49.38,42.76,47.78,10032,100
Skarner,Taliyah,Ahri,MissFortune,Lulu,Mordekaiser,Shaco,Galio,Jinx,Soraka,50.41,49.38,48.91,47.43,47.04,2332,200
Ornn,Skarner,Syndra,Twitch,Renata,Gwen,Viego,Nasus,Jhin,Lillia,44.21,51.43,50,50.17,50,-70,200
Chogath,Amumu,Vladimir,Vayne,Maokai,Mordekaiser,Graves,Annie,Ezreal,Lux,48.53,52.54,47.5,54.65,54.14,10916,100
Hwei,Evelynn,Tristana,Ezreal,Soraka,Aatrox,Nunu,Pantheon,Ashe,Rakan,46.3,49.56,56.19,42.09,49.74,1000,100
Kayle,Chogath,Velkoz,Jhin,Lux,Malphite,Brand,Hwei,Vayne,TahmKench,49.83,50,53.9,53.57,45.05,7804,100
Gangplank,Briar,Hwei,Yasuo,Morgana,Mordekaiser,XinZhao,Yone,Zeri,Thresh,50.62,47.44,51.84,50,48.94,-17615,200
Aatrox,Rammus,Diana,Lucian,Ziggs,Mordekaiser,Kayn,Zed,Twitch,Senna,49.51,50.3,52.11,48.53,50,-15,200
Urgot,Shaco,Veigar,Yasuo,Zyra,AurelionSol,Briar,Qiyana,Caitlyn,Bard,50,52.97,51.85,50,50.63,-15626,200
DrMundo,Shaco,TahmKench,Vayne,Brand,Tryndamere,Hecarim,Yasuo,MissFortune,Lulu,42.39,51.83,50,46.9,47.0,7346,100
Nasus,Nidalee,Ziggs,Vayne,Milio,Sett,Vi,Orianna,Tristana,Shen,46.11,52.37,50,47.15,50,-11129,200
Riven,Amumu,Velkoz,KogMaw,Yuumi,Sion,Zac,Lissandra,Draven,Lulu,55.19,44.2,53.66,60.39,46.35,6385,100
Aatrox,Khazix,Neeko,Smolder,Hwei,Nocturne,Brand,Galio,Tristana,Senna,50,50.5,55.32,38.69,47.3,10758,100
Illaoi,Brand,Ekko,Ezreal,Blitzcrank,Chogath,Vi,Leblanc,Jinx,Lulu,50,53.97,50,45.43,54.05,0,200
